City,Latitude,Longitude
Санкт-Петербург,59.938,30.314
Стамбул,41.0138,28.9496
Гебзе,40.48,29.25
Алиага,38.4759,26.58
Анкара,39.5511,32.5115
Орду,40.5840,37.5325
Анталья,36.5429,30.4144
Кютахья,39.2527,29.5859
Афьон-Карахисар,38.4524,30.3235
Ушак,38.4024,29.2420
Измир,38.2445,27.0818
Сакарья,39.3011,32.0432
Бодрум,37.0217,27.2545
Битлис,38.2404,42.0628
Агры,39.4309,43.0305
